Metropolitan Statisical Area,All items,Goods,Housing,Utilities,Other
"Des Moines-West Des Moines, IA",94.9,95,87.9,98.6,96.9
"Detroit-Warren-Dearborn, MI",97.1,96.4,93.6,96.1,98.7
"Dothan, AL",87.3,95.1,53.2,118.4,97.8
"Dover, DE",94.9,95.2,93.7,99.9,95
"Dubuque, IA",90.8,95,69.4,98.5,96.9
"Duluth, MN-WI",88.6,95.6,68.1,87.4,95.3
"Durham-Chapel Hill, NC",93.8,95.4,84.6,99.2,95.7
"East Stroudsburg, PA",99.9,98.5,103.4,95,99.5
"Eau Claire, WI",92.1,94.2,76.6,90.1,97.3
"El Centro, CA",93.4,103.2,65.5,95.5,101.4
"Elizabethtown-Fort Knox, KY",89.8,95.3,65.2,101.8,97.2
"Elkhart-Goshen, IN",91.6,94,75.7,105.2,97.4
"Elmira, NY",95.7,98.4,81.7,94.2,99.9
"El Paso, TX",93.2,97,71.7,111.7,99.8
"Enid, OK",89.2,95.8,54.6,109,100
"Erie, PA",94.4,98.5,74.2,95.2,99.5
"Eugene-Springfield, OR",99.9,103.4,93.7,88.7,100.6
"Evansville, IN-KY",90,94,65.6,105,97.4
"Fairbanks, AK",103.8,98.9,109.5,109,104.6
"Fargo, ND-MN",94,95.6,83.4,83.2,96.8
"Farmington, NM",90.2,96.8,70.3,87.1,95.2
"Fayetteville, NC",89.8,95.4,68.1,99.2,95.7
"Fayetteville-Springdale-Rogers, AR",93.3,95.1,71.5,103.2,99.9
"Flagstaff, AZ",99.2,96.3,112.6,103,94.5
"Flint, MI",89.7,93.5,68.2,96,97.6
"Florence, SC",88.1,95.4,61.7,103.3,95.5
"Florence-Muscle Shoals, AL",82.4,95.1,41.5,118.4,97.8
"Fond du Lac, WI",91.6,94.2,71.6,90.2,97.3
"Fort Collins, CO",100.1,95.9,130.8,83.9,94.2
"Fort Smith, AR-OK",89.3,95.2,58.1,104.1,99.9
"Fort Wayne, IN",91.6,94,71.9,105.5,97.4
"Fresno, CA",99.8,103.2,91.2,95.3,101.4
"Gadsden, AL",85.5,95.1,46.3,118.4,97.8
"Gainesville, FL",94.3,95.1,88.9,92.5,96.2
"Gainesville, GA",93,95,81.8,109.6,95.3
"Gettysburg, PA",96.3,98.5,83.1,95.1,99.5
"Glens Falls, NY",97,98.4,88.9,94.1,99.9
"Goldsboro, NC",89.1,95.4,64.6,99.2,95.7
"Grand Forks, ND-MN",92.2,95.6,76.8,83.4,96.5
"Grand Island, NE",90.6,95,66.8,103.2,97.5
