,,Per capita personal income (dollars),,
Bradley,Arkansas,"38,756","39,097","42,037"
Calhoun,Arkansas,"34,321","35,808","38,509"
Carroll,Arkansas,"33,298","32,925","34,692"
Chicot,Arkansas,"36,744","38,927","44,762"
Clark,Arkansas,"35,696","36,903","39,450"
Clay,Arkansas,"34,740","35,973","39,157"
Cleburne,Arkansas,"37,876","39,296","41,656"
Cleveland,Arkansas,"40,108","39,663","40,366"
Columbia,Arkansas,"36,561","37,225","38,806"
Conway,Arkansas,"38,063","38,465","40,633"
Craighead,Arkansas,"37,129","38,365","40,728"
Crawford,Arkansas,"32,745","33,837","35,919"
Crittenden,Arkansas,"36,828","38,397","41,474"
Cross,Arkansas,"35,000","37,334","41,715"
Dallas,Arkansas,"35,297","37,188","40,611"
Desha,Arkansas,"37,227","39,508","44,920"
Drew,Arkansas,"36,257","37,906","40,726"
Faulkner,Arkansas,"38,103","39,335","41,943"
Franklin,Arkansas,"33,011","32,841","33,885"
Fulton,Arkansas,"27,978","28,457","31,840"
Garland,Arkansas,"40,053","41,502","44,358"
Grant,Arkansas,"37,751","39,324","41,674"
Greene,Arkansas,"34,554","35,869","38,560"
Hempstead,Arkansas,"31,739","31,799","33,760"
Hot Spring,Arkansas,"30,887","31,697","34,110"
Howard,Arkansas,"35,903","34,068","34,751"
Independence,Arkansas,"35,115","36,292","38,266"
Izard,Arkansas,"30,400","30,681","32,606"
Jackson,Arkansas,"37,536","38,054","41,646"
Jefferson,Arkansas,"34,510","36,060","39,443"
Johnson,Arkansas,"28,685","28,774","30,728"
Lafayette,Arkansas,"35,151","35,672","38,307"
Lawrence,Arkansas,"33,205","33,601","38,065"
Lee,Arkansas,"27,409","30,263","32,359"
Lincoln,Arkansas,"26,781","27,710","29,008"
Little River,Arkansas,"34,014","34,392","37,075"
Logan,Arkansas,"33,286","32,662","34,433"
Lonoke,Arkansas,"39,677","40,825","43,537"
Madison,Arkansas,"34,972","33,906","34,012"
Marion,Arkansas,"30,499","31,494","33,493"
Miller,Arkansas,"33,580","34,620","37,065"
Mississippi,Arkansas,"32,888","35,915","37,730"
Monroe,Arkansas,"32,365","35,474","40,475"
Montgomery,Arkansas,"30,029","29,748","32,125"
Nevada,Arkansas,"33,470","33,940","35,808"
Newton,Arkansas,"29,017","30,265","32,731"
Ouachita,Arkansas,"37,224","38,582","41,877"
Perry,Arkansas,"35,410","36,201","38,404"
Phillips,Arkansas,"31,773","34,052","38,155"
Pike,Arkansas,"32,608","32,315","33,920"
Poinsett,Arkansas,"32,482","34,677","37,307"
Polk,Arkansas,"30,553","30,512","32,573"
Pope,Arkansas,"34,989","35,416","36,617"
Prairie,Arkansas,"36,502","36,273","42,843"
Pulaski,Arkansas,"50,641","52,499","55,563"
Randolph,Arkansas,"33,255","33,640","36,401"
St. Francis,Arkansas,"27,247","28,560","30,903"
Saline,Arkansas,"42,462","43,233","45,692"
Scott,Arkansas,"31,276","30,901","32,290"
Searcy,Arkansas,"27,323","28,270","31,657"
Sebastian,Arkansas,"41,479","43,310","45,586"
Sevier,Arkansas,"32,556","31,719","32,926"
Sharp,Arkansas,"34,120","34,281","35,612"
Stone,Arkansas,"30,761","31,171","32,753"
Union,Arkansas,"43,867","46,081","48,669"
Van Buren,Arkansas,"30,616","31,752","34,482"
Washington,Arkansas,"40,194","41,643","43,817"
White,Arkansas,"36,105","37,110","39,598"
Woodruff,Arkansas,"36,784","37,638","45,248"
Yell,Arkansas,"33,652","33,074","33,506"
California,California,"61,663","64,513","70,192"
Alameda,California,"75,354","78,839","87,078"
Alpine,California,"76,104","79,701","76,175"
Amador,California,"42,466","43,979","47,721"
Butte,California,"42,441","45,175","50,279"
Calaveras,California,"46,818","48,460","53,026"
Colusa,California,"46,623","44,661","57,382"
Contra Costa,California,"79,641","84,614","92,264"
Del Norte,California,"35,017","36,092","40,192"
El Dorado,California,"65,806","68,125","72,662"
Fresno,California,"41,248","43,019","48,495"
Glenn,California,"43,449","43,247","52,219"
Humboldt,California,"44,438","46,072","50,182"
Imperial,California,"35,331","37,196","44,500"
Inyo,California,"57,444","60,229","64,335"
Kern,California,"38,079","39,559","44,721"
Kings,California,"35,267","36,442","41,829"
Lake,California,"40,669","42,144","47,144"
