,,Per capita personal income (dollars),,
Boundary,Idaho,"36,048","37,189","39,272"
Butte,Idaho,"39,925","43,651","51,370"
Camas,Idaho,"43,000","51,540","53,373"
Canyon,Idaho,"33,435","34,640","37,611"
Caribou,Idaho,"38,219","41,449","48,595"
Cassia,Idaho,"43,245","46,027","51,149"
Clark,Idaho,"43,783","41,440","47,615"
Clearwater,Idaho,"35,043","35,730","39,140"
Custer,Idaho,"41,773","43,698","48,718"
Elmore,Idaho,"36,582","39,539","42,033"
Franklin,Idaho,"34,420","36,580","40,495"
Fremont (includes Yellowstone National Park),Idaho,"34,443","37,292","40,803"
Gem,Idaho,"37,755","39,663","42,561"
Gooding,Idaho,"52,886","59,569","68,597"
Idaho,Idaho,"33,955","35,343","39,182"
Jefferson,Idaho,"34,559","36,926","40,288"
Jerome,Idaho,"35,514","38,003","42,332"
Kootenai,Idaho,"45,311","46,762","48,953"
Latah,Idaho,"39,641","41,442","43,944"
Lemhi,Idaho,"40,720","43,160","47,981"
Lewis,Idaho,"46,246","48,762","54,918"
Lincoln,Idaho,"34,792","40,318","45,593"
Madison,Idaho,"27,165","28,436","30,838"
Minidoka,Idaho,"38,181","40,939","46,743"
Nez Perce,Idaho,"44,373","46,305","50,550"
Oneida,Idaho,"35,345","38,399","43,117"
Owyhee,Idaho,"35,423","38,606","42,616"
Payette,Idaho,"39,461","41,274","44,312"
Power,Idaho,"37,770","42,421","52,807"
Shoshone,Idaho,"35,168","36,063","40,953"
Teton,Idaho,"39,527","41,258","43,521"
Twin Falls,Idaho,"39,698","41,092","44,112"
Valley,Idaho,"48,829","50,329","52,298"
Washington,Idaho,"34,706","36,515","40,050"
Illinois,Illinois,"57,240","59,115","62,930"
Adams,Illinois,"46,466","47,593","51,779"
Alexander,Illinois,"34,510","37,560","43,272"
Bond,Illinois,"36,565","38,008","41,745"
Boone,Illinois,"47,321","48,062","51,066"
Brown,Illinois,"34,867","36,759","41,094"
Bureau,Illinois,"40,682","42,352","47,081"
Calhoun,Illinois,"41,418","43,234","47,665"
Carroll,Illinois,"43,501","44,351","50,871"
Cass,Illinois,"39,935","41,180","48,079"
Champaign,Illinois,"44,277","45,591","49,187"
Christian,Illinois,"41,014","42,155","46,873"
Clark,Illinois,"41,026","41,993","46,560"
Clay,Illinois,"40,226","39,623","45,559"
Clinton,Illinois,"46,004","48,033","51,095"
Coles,Illinois,"39,952","42,106","45,967"
Cook,Illinois,"63,491","65,817","69,935"
Crawford,Illinois,"45,127","46,662","50,986"
Cumberland,Illinois,"73,616","73,276","80,116"
DeKalb,Illinois,"40,515","41,918","45,555"
De Witt,Illinois,"46,775","46,742","53,339"
Douglas,Illinois,"50,454","51,099","55,721"
DuPage,Illinois,"73,559","76,331","79,127"
Edgar,Illinois,"40,698","41,635","48,411"
Edwards,Illinois,"40,053","40,659","45,295"
Effingham,Illinois,"49,214","50,707","54,838"
Fayette,Illinois,"35,232","36,244","40,786"
Ford,Illinois,"48,240","51,927","58,512"
Franklin,Illinois,"36,944","37,648","41,625"
Fulton,Illinois,"37,411","38,014","42,264"
Gallatin,Illinois,"39,824","42,731","48,856"
Greene,Illinois,"35,421","35,876","42,437"
Grundy,Illinois,"54,647","59,397","61,862"
Hamilton,Illinois,"42,266","43,371","48,255"
Hancock,Illinois,"43,445","44,482","51,388"
Hardin,Illinois,"36,414","37,228","40,720"
Henderson,Illinois,"41,700","41,304","48,805"
Henry,Illinois,"45,006","46,088","51,103"
Iroquois,Illinois,"42,897","44,138","51,824"
Jackson,Illinois,"36,450","37,345","40,297"
Jasper,Illinois,"40,616","41,157","48,090"
Jefferson,Illinois,"39,183","40,141","44,163"
Jersey,Illinois,"41,665","42,742","46,828"
Jo Daviess,Illinois,"47,262","48,547","53,399"
Johnson,Illinois,"35,890","36,561","39,793"
Kane,Illinois,"51,393","52,654","55,976"
Kankakee,Illinois,"41,173","42,857","46,988"
Kendall,Illinois,"49,244","50,577","53,998"
Knox,Illinois,"38,982","39,567","44,921"
Lake,Illinois,"79,644","82,580","85,159"
LaSalle,Illinois,"44,203","45,403","49,292"
Lawrence,Illinois,"30,328","30,565","35,878"
Lee,Illinois,"41,131","42,167","47,249"
Livingston,Illinois,"44,522","44,840","52,100"
Logan,Illinois,"36,635","37,131","41,682"
McDonough,Illinois,"37,728","37,675","41,685"
McHenry,Illinois,"55,474","57,126","60,097"
McLean,Illinois,"49,302","49,760","54,639"
Macon,Illinois,"47,662","48,151","52,196"
Macoupin,Illinois,"40,607","41,715","45,948"
Madison,Illinois,"46,273","48,261","51,433"
Marion,Illinois,"41,322","42,636","46,966"
Marshall,Illinois,"45,334","45,100","51,165"
Mason,Illinois,"40,755","40,716","47,178"
Massac,Illinois,"37,138","39,601","44,089"
Menard,Illinois,"45,609","46,531","51,028"
Mercer,Illinois,"46,083","46,961","53,966"
Monroe,Illinois,"57,014","58,637","61,366"
Montgomery,Illinois,"35,146","35,771","40,180"
Morgan,Illinois,"39,039","39,832","43,763"
Moultrie,Illinois,"63,193","68,682","69,297"
Ogle,Illinois,"45,986","46,704","50,110"
Peoria,Illinois,"49,828","50,668","54,609"
Perry,Illinois,"36,623","37,749","41,366"
Piatt,Illinois,"53,874","54,025","59,952"
Pike,Illinois,"40,132","40,887","47,052"
Pope,Illinois,"28,930","29,451","33,286"
Pulaski,Illinois,"36,034","37,776","43,533"
Putnam,Illinois,"58,408","64,023","66,839"
Randolph,Illinois,"36,105","37,946","41,919"
Richland,Illinois,"40,796","41,737","46,318"
Rock Island,Illinois,"44,137","44,418","48,492"
St. Clair,Illinois,"44,570","46,124","49,646"
Saline,Illinois,"39,105","40,205","44,321"
Sangamon,Illinois,"47,769","49,380","52,891"
Schuyler,Illinois,"41,546","43,995","49,505"
Scott,Illinois,"41,434","40,736","47,152"
Shelby,Illinois,"39,748","39,898","45,745"
Stark,Illinois,"43,303","42,358","51,267"
Stephenson,Illinois,"41,701","43,106","46,534"
Tazewell,Illinois,"47,615","48,302","51,920"
Union,Illinois,"41,842","43,107","48,028"
Vermilion,Illinois,"38,433","39,696","44,533"
Wabash,Illinois,"42,412","43,194","47,543"
Warren,Illinois,"40,693","40,489","47,232"
Washington,Illinois,"47,238","48,131","53,789"
Wayne,Illinois,"37,839","38,950","44,127"
White,Illinois,"48,533","48,700","52,223"
Whiteside,Illinois,"43,056","44,170","48,757"
Will,Illinois,"53,125","54,456","57,700"
Williamson,Illinois,"44,050","45,418","48,625"
Winnebago,Illinois,"43,166","43,972","47,404"
Woodford,Illinois,"52,346","52,845","56,797"
Indiana,Indiana,"47,292","48,980","51,926"
Adams,Indiana,"39,244","39,986","42,452"
Allen,Indiana,"46,677","47,828","50,327"
Bartholomew,Indiana,"51,441","53,268","55,804"
Benton,Indiana,"40,345","41,575","48,450"
Blackford,Indiana,"37,179","38,529","41,561"
Boone,Indiana,"74,825","77,641","80,314"
Brown,Indiana,"47,440","49,687","51,505"
Carroll,Indiana,"42,307","43,243","46,792"
Cass,Indiana,"38,531","40,398","44,305"
Clark,Indiana,"43,880","45,231","48,210"
Clay,Indiana,"37,546","38,246","41,941"
Clinton,Indiana,"38,878","39,760","43,027"
Crawford,Indiana,"33,834","34,790","38,276"
Daviess,Indiana,"42,512","44,086","47,919"
Dearborn,Indiana,"47,799","50,207","52,778"
Decatur,Indiana,"42,470","44,414","48,033"
DeKalb,Indiana,"44,159","46,467","48,937"
Delaware,Indiana,"36,727","38,153","40,948"
Dubois,Indiana,"55,580","56,927","59,524"
Elkhart,Indiana,"46,541","46,845","49,875"
Fayette,Indiana,"40,252","41,537","45,375"
Floyd,Indiana,"55,305","57,236","60,233"
Fountain,Indiana,"39,782","40,541","44,685"
Franklin,Indiana,"46,082","47,405","51,316"
Fulton,Indiana,"41,710","43,186","46,613"
Gibson,Indiana,"44,822","45,743","48,976"
Grant,Indiana,"40,073","40,647","43,997"
Greene,Indiana,"39,141","41,210","44,437"
Hamilton,Indiana,"76,293","78,343","80,426"
Hancock,Indiana,"51,058","52,151","55,084"
Harrison,Indiana,"42,212","43,675","46,468"
Hendricks,Indiana,"50,539","51,614","55,169"
Henry,Indiana,"38,092","39,833","43,016"
Howard,Indiana,"41,689","42,409","44,945"
Huntington,Indiana,"41,674","42,630","45,969"
Jackson,Indiana,"43,374","44,568","47,673"
Jasper,Indiana,"43,614","45,113","48,987"
Jay,Indiana,"38,551","37,883","42,194"
Jefferson,Indiana,"42,315","44,456","48,068"
Jennings,Indiana,"39,612","41,770","45,380"
Johnson,Indiana,"48,999","50,596","53,081"
Knox,Indiana,"44,094","44,926","49,156"
Kosciusko,Indiana,"47,670","48,877","51,687"
Lagrange,Indiana,"42,943","42,717","45,115"
Lake,Indiana,"45,236","45,974","49,229"
LaPorte,Indiana,"42,248","43,065","46,274"
Lawrence,Indiana,"40,664","42,567","45,897"
Madison,Indiana,"37,918","39,410","42,283"
Marion,Indiana,"52,513","56,383","59,264"
Marshall,Indiana,"41,769","42,204","45,277"
Martin,Indiana,"38,391","40,169","44,160"
Miami,Indiana,"34,632","35,442","37,669"
Monroe,Indiana,"42,192","44,014","46,693"
Montgomery,Indiana,"39,534","41,060","44,415"
Morgan,Indiana,"44,038","45,667","47,894"
Newton,Indiana,"39,533","40,954","46,215"
Noble,Indiana,"40,021","41,496","44,436"
Ohio,Indiana,"39,925","41,514","44,555"
Orange,Indiana,"37,740","38,167","41,640"
Owen,Indiana,"39,837","41,570","45,143"
Parke,Indiana,"35,798","37,924","41,554"
Perry,Indiana,"37,577","37,905","40,140"
Pike,Indiana,"40,160","41,612","44,603"
Porter,Indiana,"53,520","54,814","57,654"
Posey,Indiana,"48,136","51,656","54,646"
Pulaski,Indiana,"42,840","44,831","50,558"
Putnam,Indiana,"37,410","38,575","41,404"
Randolph,Indiana,"37,567","39,095","44,027"
Ripley,Indiana,"41,761","43,024","46,992"
Rush,Indiana,"44,792","46,328","49,889"
St. Joseph,Indiana,"47,718","48,244","51,141"
Scott,Indiana,"37,487","38,776","41,981"
Shelby,Indiana,"43,715","45,153","48,628"
Spencer,Indiana,"43,605","45,829","47,890"
Starke,Indiana,"34,643","35,468","38,910"
Steuben,Indiana,"43,764","45,556","48,032"
Sullivan,Indiana,"35,499","36,583","39,903"
Switzerland,Indiana,"31,534","32,559","35,647"
Tippecanoe,Indiana,"38,942","39,533","41,446"
Tipton,Indiana,"45,875","47,072","50,127"
Union,Indiana,"38,664","39,613","43,626"
Vanderburgh,Indiana,"45,350","47,499","50,033"
Vermillion,Indiana,"37,068","37,996","41,997"
Vigo,Indiana,"37,829","39,100","41,895"
Wabash,Indiana,"41,972","42,942","46,847"
Warren,Indiana,"43,529","44,397","49,845"
Warrick,Indiana,"56,722","58,628","60,188"
Washington,Indiana,"38,985","39,989","43,519"
Wayne,Indiana,"40,945","42,400","45,499"
Wells,Indiana,"41,889","42,730","45,704"
White,Indiana,"42,766","43,768","47,633"
Whitley,Indiana,"45,155","47,029","49,256"
Iowa,Iowa,"49,548","50,533","53,478"
Adair,Iowa,"51,910","51,911","56,422"
Adams,Iowa,"60,013","57,401","59,569"
Allamakee,Iowa,"46,440","48,046","51,107"
Appanoose,Iowa,"38,183","38,918","42,125"
Audubon,Iowa,"50,456","51,186","54,313"
Benton,Iowa,"52,840","53,675","57,277"
Black Hawk,Iowa,"45,028","46,103","49,133"
Boone,Iowa,"47,380","49,084","52,028"
Bremer,Iowa,"48,625","49,138","52,608"
Buchanan,Iowa,"47,927","48,404","51,065"
Buena Vista,Iowa,"45,429","44,069","48,077"
Butler,Iowa,"45,903","46,750","49,428"
Calhoun,Iowa,"48,536","49,151","52,585"
Carroll,Iowa,"54,375","53,342","56,244"
Cass,Iowa,"47,134","48,355","50,849"
Cedar,Iowa,"53,606","54,041","56,528"
Cerro Gordo,Iowa,"51,458","50,746","53,643"
Cherokee,Iowa,"60,086","56,677","60,881"
Chickasaw,Iowa,"57,666","55,503","59,495"
Clarke,Iowa,"41,375","40,631","43,807"
Clay,Iowa,"49,896","51,093","54,395"
Clayton,Iowa,"48,440","49,496","53,657"
Clinton,Iowa,"43,926","44,909","48,328"
Crawford,Iowa,"41,049","42,083","45,230"
Dallas,Iowa,"67,409","67,878","70,851"
Davis,Iowa,"38,647","39,508","41,649"
Decatur,Iowa,"34,732","35,075","38,347"
Delaware,Iowa,"51,013","50,248","54,843"
Des Moines,Iowa,"48,752","49,577","51,704"
Dickinson,Iowa,"59,230","61,473","63,319"
Dubuque,Iowa,"49,703","51,329","54,751"
Emmet,Iowa,"44,570","45,441","46,654"
Fayette,Iowa,"43,776","43,734","47,373"
Floyd,Iowa,"46,364","47,251","50,215"
Franklin,Iowa,"47,140","47,032","51,028"
Fremont,Iowa,"43,761","47,724","50,870"
Greene,Iowa,"46,954","48,006","52,647"
Grundy,Iowa,"51,112","51,819","55,615"
Guthrie,Iowa,"51,844","51,268","54,755"
Hamilton,Iowa,"54,236","50,543","51,584"
Hancock,Iowa,"52,790","51,365","54,318"
Hardin,Iowa,"48,418","47,644","50,328"
Harrison,Iowa,"45,088","47,471","49,678"
Henry,Iowa,"42,808","43,772","46,541"
Howard,Iowa,"48,497","48,597","52,726"
Humboldt,Iowa,"48,589","49,859","52,298"
Ida,Iowa,"50,870","52,025","57,429"
Iowa,Iowa,"53,500","54,941","58,759"
Jackson,Iowa,"44,437","45,994","49,878"
Jasper,Iowa,"42,019","43,692","46,473"
Jefferson,Iowa,"40,207","40,903","42,674"
Johnson,Iowa,"53,822","54,769","56,573"
Jones,Iowa,"43,438","44,454","47,506"
Keokuk,Iowa,"43,852","44,403","48,599"
Kossuth,Iowa,"51,412","50,442","53,422"
Lee,Iowa,"41,094","42,953","45,548"
Linn,Iowa,"52,725","53,578","56,592"
Louisa,Iowa,"41,954","42,777","44,821"
Lucas,Iowa,"41,442","42,585","44,707"
Lyon,Iowa,"57,059","55,786","57,766"
Madison,Iowa,"49,150","50,345","53,244"
Mahaska,Iowa,"43,180","43,462","46,388"
Marion,Iowa,"48,351","50,704","53,648"
Marshall,Iowa,"42,260","43,722","47,696"
Mills,Iowa,"54,814","58,598","60,384"
Mitchell,Iowa,"63,254","62,670","62,037"
Monona,Iowa,"44,626","46,952","50,807"
Monroe,Iowa,"43,339","45,325","48,423"
Montgomery,Iowa,"41,346","42,740","45,665"
Muscatine,Iowa,"46,619","48,157","51,135"
O'Brien,Iowa,"54,381","54,710","57,629"
Osceola,Iowa,"51,758","48,362","50,706"
Page,Iowa,"41,071","42,970","47,321"
Palo Alto,Iowa,"54,550","50,554","51,679"
Plymouth,Iowa,"55,481","56,634","59,460"
Pocahontas,Iowa,"53,255","52,929","53,074"
Polk,Iowa,"52,762","54,049","57,080"
Pottawattamie,Iowa,"44,820","45,642","47,921"
Poweshiek,Iowa,"44,959","46,021","50,139"
Ringgold,Iowa,"45,840","46,574","50,196"
Sac,Iowa,"54,227","56,400","59,653"
Scott,Iowa,"53,655","55,094","58,465"
Shelby,Iowa,"51,543","52,317","55,229"
Sioux,Iowa,"53,439","52,234","55,209"
Story,Iowa,"42,525","44,100","45,951"
Tama,Iowa,"45,254","46,647","52,315"
Taylor,Iowa,"40,877","41,479","44,763"
Union,Iowa,"40,565","41,084","43,735"
Van Buren,Iowa,"40,690","40,328","41,781"
Wapello,Iowa,"38,404","39,576","42,889"
Warren,Iowa,"50,327","51,955","54,251"
Washington,Iowa,"57,480","60,857","59,565"
Wayne,Iowa,"42,610","42,605","46,743"
Webster,Iowa,"44,853","46,562","48,862"
Winnebago,Iowa,"42,605","42,377","45,722"
Winneshiek,Iowa,"48,612","49,610","54,036"
Woodbury,Iowa,"43,130","44,690","47,731"
Worth,Iowa,"40,467","41,710","45,566"
Wright,Iowa,"51,879","48,770","52,825"
Kansas,Kansas,"51,139","53,203","56,099"
Allen,Kansas,"39,665","42,756","45,840"
Anderson,Kansas,"38,277","39,196","43,864"
Atchison,Kansas,"38,114","39,743","42,974"
Barber,Kansas,"42,895","43,570","49,804"
Barton,Kansas,"45,018","47,429","49,436"
Bourbon,Kansas,"45,029","41,792","44,521"
Brown,Kansas,"45,226","45,349","48,026"
Butler,Kansas,"46,265","48,192","50,789"
Chase,Kansas,"51,234","50,941","56,852"
Chautauqua,Kansas,"40,456","41,514","44,908"
Cherokee,Kansas,"40,588","41,760","44,739"
Cheyenne,Kansas,"45,903","45,768","54,465"
Clark,Kansas,"54,118","54,420","60,647"
Clay,Kansas,"41,849","43,526","47,126"
Cloud,Kansas,"38,195","39,807","44,452"
Coffey,Kansas,"52,834","52,701","56,988"
Comanche,Kansas,"42,445","40,844","46,141"
Cowley,Kansas,"37,835","39,690","42,334"
Crawford,Kansas,"37,947","39,587","42,963"
Decatur,Kansas,"42,366","43,934","51,018"
Dickinson,Kansas,"41,120","42,873","47,348"
Doniphan,Kansas,"39,552","42,643","44,885"
Douglas,Kansas,"43,888","45,174","47,494"
Edwards,Kansas,"54,395","53,549","61,904"
Elk,Kansas,"38,988","38,779","42,431"
Ellis,Kansas,"45,419","47,072","50,785"
Ellsworth,Kansas,"43,626","46,178","47,276"
Finney,Kansas,"43,473","43,588","46,899"
Ford,Kansas,"39,188","40,145","45,081"
Franklin,Kansas,"42,645","43,930","46,437"
Geary,Kansas,"49,684","52,022","54,663"
Gove,Kansas,"57,091","56,396","61,150"
Graham,Kansas,"48,953","49,939","56,190"
Grant,Kansas,"46,105","43,820","44,835"
Gray,Kansas,"60,129","57,854","60,355"
Greeley,Kansas,"72,675","66,094","89,737"
Greenwood,Kansas,"40,959","41,837","46,032"
Hamilton,Kansas,"54,743","55,843","75,840"
Harper,Kansas,"46,455","52,777","57,870"
Harvey,Kansas,"42,453","43,822","46,698"
Haskell,Kansas,"61,737","52,604","56,311"
Hodgeman,Kansas,"53,439","53,124","61,030"
Jackson,Kansas,"42,018","43,163","46,523"
Jefferson,Kansas,"44,870","44,598","48,099"
Jewell,Kansas,"49,161","49,336","55,860"
Johnson,Kansas,"74,892","78,670","80,681"
Kearny,Kansas,"50,336","52,915","61,932"
Kingman,Kansas,"43,294","46,275","50,889"
Kiowa,Kansas,"41,155","40,295","48,250"
Labette,Kansas,"41,834","42,939","47,114"
Lane,Kansas,"69,738","66,005","72,211"
Leavenworth,Kansas,"42,890","44,060","46,176"
Lincoln,Kansas,"41,892","43,879","52,328"
Linn,Kansas,"38,793","40,714","44,155"
Logan,Kansas,"45,656","48,091","57,732"
Lyon,Kansas,"38,347","38,840","43,035"
McPherson,Kansas,"51,311","55,906","58,438"
Marion,Kansas,"41,646","42,603","46,588"
Marshall,Kansas,"43,181","43,858","48,358"
Meade,Kansas,"57,132","60,265","65,633"
Miami,Kansas,"48,650","49,837","52,811"
Mitchell,Kansas,"56,707","60,282","63,384"
Montgomery,Kansas,"36,907","37,469","40,651"
Morris,Kansas,"43,885","42,993","48,171"
Morton,Kansas,"44,732","44,985","54,151"
Nemaha,Kansas,"51,821","51,253","56,013"
Neosho,Kansas,"38,823","40,400","43,566"
Ness,Kansas,"49,497","52,570","60,508"
Norton,Kansas,"40,991","42,973","47,679"
Osage,Kansas,"42,142","42,799","46,698"
Osborne,Kansas,"47,012","47,340","51,423"
Ottawa,Kansas,"41,390","41,714","45,692"
Pawnee,Kansas,"39,112","41,101","43,986"
Phillips,Kansas,"49,888","51,310","56,496"
Pottawatomie,Kansas,"53,433","53,697","57,495"
Pratt,Kansas,"46,936","49,737","53,750"
Rawlins,Kansas,"49,858","56,570","65,230"
Reno,Kansas,"39,799","41,671","44,529"
Republic,Kansas,"42,539","44,316","49,163"
Rice,Kansas,"41,936","43,331","46,275"
Riley,Kansas,"41,618","43,056","45,177"
Rooks,Kansas,"39,438","39,555","46,817"
Rush,Kansas,"46,274","50,981","59,190"
Russell,Kansas,"43,822","44,875","48,430"
Saline,Kansas,"49,201","50,099","53,320"
Scott,Kansas,"56,898","55,993","60,520"
Sedgwick,Kansas,"51,889","54,385","56,550"
Seward,Kansas,"37,915","38,254","43,606"
Shawnee,Kansas,"46,809","48,091","51,216"
Sheridan,Kansas,"44,948","44,967","50,691"
Sherman,Kansas,"43,189","42,422","48,439"
Smith,Kansas,"43,589","46,587","54,497"
Stafford,Kansas,"45,168","46,272","50,623"
Stanton,Kansas,"60,721","73,965","85,633"
Stevens,Kansas,"40,348","43,272","48,686"
Sumner,Kansas,"38,422","41,335","44,392"
Thomas,Kansas,"46,960","47,934","51,457"
Trego,Kansas,"47,748","48,982","56,311"
Wabaunsee,Kansas,"50,961","51,245","54,428"
Wallace,Kansas,"51,176","50,175","59,159"
Washington,Kansas,"44,312","45,852","52,731"
Wichita,Kansas,"61,298","61,878","61,032"
Wilson,Kansas,"41,460","41,838","45,341"
Woodson,Kansas,"37,622","39,032","43,381"
Wyandotte,Kansas,"33,097","34,371","36,961"
Kentucky,Kentucky,"42,193","43,881","47,339"
Adair,Kentucky,"31,196","32,066","35,880"
Allen,Kentucky,"32,132","33,024","35,499"
Anderson,Kentucky,"39,371","40,950","44,009"
Ballard,Kentucky,"36,585","40,587","45,124"
Barren,Kentucky,"36,026","37,800","41,057"
Bath,Kentucky,"30,462","31,578","35,333"
Bell,Kentucky,"29,313","30,262","34,618"
Boone,Kentucky,"48,353","50,183","53,405"
Bourbon,Kentucky,"47,826","50,326","51,624"
Boyd,Kentucky,"39,009","40,201","43,917"
Boyle,Kentucky,"37,604","39,983","43,024"
Bracken,Kentucky,"36,913","38,343","42,258"
Breathitt,Kentucky,"33,430","34,070","38,011"
Breckinridge,Kentucky,"33,473","35,124","39,084"
Bullitt,Kentucky,"41,649","43,110","46,618"
Butler,Kentucky,"33,858","35,294","38,969"
Caldwell,Kentucky,"33,420","35,425","40,364"
Calloway,Kentucky,"34,946","36,114","38,629"
Campbell,Kentucky,"48,173","50,368","53,445"
Carlisle,Kentucky,"39,301","44,953","48,900"
Carroll,Kentucky,"36,325","38,068","41,568"
Carter,Kentucky,"30,632","31,902","36,002"
Casey,Kentucky,"30,470","31,686","36,436"
Christian,Kentucky,"38,002","39,298","42,884"
Clark,Kentucky,"39,125","40,745","43,952"
Clay,Kentucky,"30,169","30,760","35,259"
Clinton,Kentucky,"31,305","31,584","35,609"
Crittenden,Kentucky,"34,576","36,302","39,879"
Cumberland,Kentucky,"33,925","35,993","44,628"
Daviess,Kentucky,"41,251","42,741","46,373"
Edmonson,Kentucky,"32,648","34,265","37,223"
Elliott,Kentucky,"22,422","23,090","27,001"
Estill,Kentucky,"31,910","32,995","36,569"
Fayette,Kentucky,"49,847","51,983","54,824"
Fleming,Kentucky,"33,854","35,038","39,846"
Floyd,Kentucky,"36,191","37,129","41,330"
Franklin,Kentucky,"41,900","43,522","47,009"
Fulton,Kentucky,"32,521","35,227","39,745"
Gallatin,Kentucky,"33,110","34,201","38,178"
Garrard,Kentucky,"34,478","35,501","38,822"
Grant,Kentucky,"35,850","37,427","40,772"
Graves,Kentucky,"37,254","38,693","42,264"
Grayson,Kentucky,"33,270","34,969","38,959"
Green,Kentucky,"33,685","35,099","39,882"
Greenup,Kentucky,"41,068","42,131","45,897"
Hancock,Kentucky,"37,317","40,862","40,261"
Hardin,Kentucky,"42,599","44,464","47,873"
Harlan,Kentucky,"30,308","31,441","35,824"
Harrison,Kentucky,"35,113","36,846","41,079"
Hart,Kentucky,"32,627","34,228","37,418"
Henderson,Kentucky,"39,088","41,329","44,793"
Henry,Kentucky,"38,129","39,893","43,426"
Hickman,Kentucky,"41,701","43,207","46,425"
Hopkins,Kentucky,"38,823","40,219","42,918"
Jackson,Kentucky,"28,515","29,905","33,106"
Jefferson,Kentucky,"52,081","54,293","57,863"
Jessamine,Kentucky,"44,884","46,769","49,406"
Johnson,Kentucky,"32,985","34,442","37,769"
Kenton,Kentucky,"56,075","58,917","62,500"
Knott,Kentucky,"30,385","31,517","35,697"
Knox,Kentucky,"28,882","29,841","33,797"
Larue,Kentucky,"36,712","38,332","42,333"
Laurel,Kentucky,"33,576","34,265","37,869"
Lawrence,Kentucky,"31,567","33,031","36,446"
Lee,Kentucky,"29,693","28,755","32,694"
Leslie,Kentucky,"32,599","34,057","38,666"
Letcher,Kentucky,"30,524","31,560","35,770"
Lewis,Kentucky,"31,032","32,167","36,806"
Lincoln,Kentucky,"31,806","33,549","37,303"
Livingston,Kentucky,"36,807","38,644","43,379"
Logan,Kentucky,"34,830","37,061","40,963"
Lyon,Kentucky,"35,847","37,823","40,843"
McCracken,Kentucky,"46,576","48,517","52,171"
McCreary,Kentucky,"25,887","26,649","30,943"
McLean,Kentucky,"38,981","39,825","43,162"
Madison,Kentucky,"35,177","35,969","39,093"
Magoffin,Kentucky,"31,530","33,307","38,033"
Marion,Kentucky,"36,362","37,733","41,225"
Marshall,Kentucky,"40,296","42,509","45,975"
Martin,Kentucky,"29,474","29,194","32,383"
Mason,Kentucky,"39,302","41,414","45,488"
Meade,Kentucky,"39,332","41,449","44,720"
Menifee,Kentucky,"30,364","31,719","35,489"
Mercer,Kentucky,"36,717","37,891","41,025"
Metcalfe,Kentucky,"30,599","31,968","35,804"
Monroe,Kentucky,"35,891","37,421","42,638"
Montgomery,Kentucky,"34,516","36,141","39,549"
Morgan,Kentucky,"26,967","28,308","31,500"
Muhlenberg,Kentucky,"33,531","34,807","37,328"
Nelson,Kentucky,"42,510","44,101","47,784"
Nicholas,Kentucky,"34,082","35,360","39,531"
Ohio,Kentucky,"32,508","33,140","36,606"
Oldham,Kentucky,"63,867","66,583","68,986"
Owen,Kentucky,"33,466","33,906","37,464"
Owsley,Kentucky,"31,469","32,179","36,830"
Pendleton,Kentucky,"43,704","45,354","46,524"
Perry,Kentucky,"37,606","38,701","43,661"
Pike,Kentucky,"36,501","35,833","39,450"
Powell,Kentucky,"31,713","32,497","37,224"
Pulaski,Kentucky,"36,879","38,331","41,989"
Robertson,Kentucky,"32,518","33,813","39,137"
Rockcastle,Kentucky,"30,817","32,301","35,809"
Rowan,Kentucky,"30,915","31,654","34,561"
Russell,Kentucky,"36,043","37,449","40,672"
Scott,Kentucky,"43,176","44,391","47,509"
Shelby,Kentucky,"45,299","46,655","50,602"
Simpson,Kentucky,"37,218","38,943","42,537"
Spencer,Kentucky,"44,245","45,606","49,066"
Taylor,Kentucky,"34,064","35,388","39,488"
Todd,Kentucky,"36,274","38,800","41,672"
Trigg,Kentucky,"36,342","38,177","41,497"
Trimble,Kentucky,"38,405","40,200","44,227"
Union,Kentucky,"33,388","36,328","41,157"
Warren,Kentucky,"37,256","38,153","40,705"
Washington,Kentucky,"37,413","38,091","41,902"
Wayne,Kentucky,"28,725","29,160","33,258"
Webster,Kentucky,"38,399","39,887","42,496"
Whitley,Kentucky,"33,163","34,331","38,256"
Wolfe,Kentucky,"31,056","31,477","36,449"
Woodford,Kentucky,"50,920","53,192","54,911"
Louisiana,Louisiana,"46,117","47,670","50,874"
Acadia,Louisiana,"37,000","37,337","40,916"
Allen,Louisiana,"33,920","34,997","37,054"
Ascension,Louisiana,"50,003","51,516","54,395"
Assumption,Louisiana,"47,374","49,020","51,585"
Avoyelles,Louisiana,"37,552","38,588","41,977"
Beauregard,Louisiana,"42,466","43,502","47,003"
Bienville,Louisiana,"38,210","38,881","42,372"
Bossier,Louisiana,"44,292","45,535","48,907"
Caddo,Louisiana,"48,822","50,376","55,047"
Calcasieu,Louisiana,"48,576","49,562","50,994"
Caldwell,Louisiana,"33,264","34,840","38,705"
Cameron,Louisiana,"46,786","48,227","49,224"
Catahoula,Louisiana,"32,534","34,749","39,357"
Claiborne,Louisiana,"33,499","34,115","36,281"
Concordia,Louisiana,"32,179","33,666","38,891"
De Soto,Louisiana,"41,279","42,314","45,615"
East Baton Rouge,Louisiana,"51,486","53,223","56,484"
East Carroll,Louisiana,"34,245","35,331","41,875"
East Feliciana,Louisiana,"41,245","42,654","44,787"
